ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
HedongKuaNsi-186_daughterinlaw-1,,HedongKuaNsi,186_daughterinlaw,tsʰɿ²¹ mu³³,tsʰɿ²¹mu³³,tsʰ ɿ ²¹ + m u ³³,,Castro2010,,
Kuamasi-186_daughterinlaw-1,,Kuamasi,186_daughterinlaw,tɕʰi²¹ mũ³³,tɕʰi²¹mũ³³,tɕʰ i ²¹ + m ũ ³³,,Castro2010,,
DaqingZibusi-186_daughterinlaw-1,,DaqingZibusi,186_daughterinlaw,tɕʰi²¹ mu³³,tɕʰi²¹mu³³,tɕʰ i ²¹ + m u ³³,,Castro2010,,
MoguangLaizisi-186_daughterinlaw-1,,MoguangLaizisi,186_daughterinlaw,zu²¹ tɕʰi²¹ mũ³³,zu²¹tɕʰi²¹mũ³³,z u ²¹ + tɕʰ i ²¹ + m ũ ³³,,Castro2010,,
XinfengSonaga-186_daughterinlaw-1,,XinfengSonaga,186_daughterinlaw,zo²¹ tɕʰi²¹ mõ³³,zo²¹tɕʰi²¹mõ³³,z o ²¹ + tɕʰ i ²¹ + m õ ³³,,Castro2010,,
HedongKuaNsi-511_i-1,,HedongKuaNsi,511_i,ŋu⁵⁵,ŋu⁵⁵,ŋ u ⁵⁵,,Castro2010,,
ShangepingKuaNsi-511_i-1,,ShangepingKuaNsi,511_i,ŋu⁵⁵,ŋu⁵⁵,ŋ u ⁵⁵,,Castro2010,,
Kuamasi-511_i-1,,Kuamasi,511_i,ŋu⁵⁵,ŋu⁵⁵,ŋ u ⁵⁵,,Castro2010,,
DaqingZibusi-511_i-1,,DaqingZibusi,511_i,ŋu⁵⁵,ŋu⁵⁵,ŋ u ⁵⁵,,Castro2010,,
MoguangLaizisi-511_i-1,,MoguangLaizisi,511_i,ŋu⁵⁵,ŋu⁵⁵,ŋ u ⁵⁵,,Castro2010,,
XinfengSonaga-511_i-1,,XinfengSonaga,511_i,ŋo⁵⁵,ŋo⁵⁵,ŋ o ⁵⁵,,Castro2010,,
HedongKuaNsi-527_above-1,,HedongKuaNsi,527_above,ʔu⁵⁵ pʰua⁵⁵,ʔu⁵⁵pʰua⁵⁵,ʔ u ⁵⁵ + pʰ w a ⁵⁵,,Castro2010,,
Kuamasi-527_above-1,,Kuamasi,527_above,ko̠²¹ to³³,ko̠²¹to³³,k o̠/o ²¹ + t o ³³,,Castro2010,,
DaqingZibusi-527_above-1,,DaqingZibusi,527_above,"ɡa²¹ ʔa⁵⁵ mi²¹, ko²¹ to³³",ɡa²¹ʔa⁵⁵mi²¹,g a ²¹ + ʔ a ⁵⁵ + m i ²¹,,Castro2010,,
DaqingZibusi-527_above-2,,DaqingZibusi,527_above,"ɡa²¹ ʔa⁵⁵ mi²¹, ko²¹ to³³",ko²¹to³³,k o ²¹ + t o ³³,,Castro2010,,
MoguangLaizisi-527_above-1,,MoguangLaizisi,527_above,ɡa³³ ba²¹,ɡa³³ba²¹,g a ³³ + b a ²¹,,Castro2010,,
