# Wordlist

# DATA
ID	DOCULECT	CONCEPT	NUMBER	CHINESE	VALUE	FORM	TOKENS	STRUCTURE
#
988	Kua-nsi (Hedong)	Daughter-in-law	186	儿媳(媳妇)	tsʰɿ²¹ mu³³	tsʰɿ²¹mu³³	tsʰ ɿ ²¹ + m u ³³	i n t + i n t
989	Kuamasi	Daughter-in-law	186	儿媳(媳妇)	tɕʰi²¹ mũ³³	tɕʰi²¹mũ³³	tɕʰ i ²¹ + m ũ ³³	i n t + i n t
990	Zibusi (Daqing)	Daughter-in-law	186	儿媳(媳妇)	tɕʰi²¹ mu³³	tɕʰi²¹mu³³	tɕʰ i ²¹ + m u ³³	i n t + i n t
991	Laizisi (Moguang)	Daughter-in-law	186	儿媳(媳妇)	zu²¹ tɕʰi²¹ mũ³³	zu²¹tɕʰi²¹mũ³³	z u ²¹ + tɕʰ i ²¹ + m ũ ³³	i n t + i n t + i n t
992	Sonaga (Xinfeng)	Daughter-in-law	186	儿媳(媳妇)	zo²¹ tɕʰi²¹ mõ³³	zo²¹tɕʰi²¹mõ³³	z o ²¹ + tɕʰ i ²¹ + m õ ³³	i n t + i n t + i n t
#
2714	Kua-nsi (Hedong)	I*	511	我	ŋu⁵⁵	ŋu⁵⁵	ŋ u ⁵⁵	i n t
2715	Kua-nsi	I*	511	我	ŋu⁵⁵	ŋu⁵⁵	ŋ u ⁵⁵	i n t
2716	Kuamasi	I*	511	我	ŋu⁵⁵	ŋu⁵⁵	ŋ u ⁵⁵	i n t
2717	Zibusi (Daqing)	I*	511	我	ŋu⁵⁵	ŋu⁵⁵	ŋ u ⁵⁵	i n t
2718	Laizisi (Moguang)	I*	511	我	ŋu⁵⁵	ŋu⁵⁵	ŋ u ⁵⁵	i n t
2719	Sonaga (Xinfeng)	I*	511	我	ŋo⁵⁵	ŋo⁵⁵	ŋ o ⁵⁵	i n t
#
2806	Kua-nsi (Hedong)	above	527	上面	ʔu⁵⁵ pʰua⁵⁵	ʔu⁵⁵pʰua⁵⁵	ʔ u ⁵⁵ + pʰ w a ⁵⁵	i n t + i m n t
2807	Kuamasi	above	527	上面	ko̠²¹ to³³	ko̠²¹to³³	k o̠/o ²¹ + t o ³³	i n t + i n t
2808	Zibusi (Daqing)	above	527	上面	ɡa²¹ ʔa⁵⁵ mi²¹, ko²¹ to³³	ɡa²¹ʔa⁵⁵mi²¹	g a ²¹ + ʔ a ⁵⁵ + m i ²¹	i n t + i n t + i n t
2809	Zibusi (Daqing)	above	527	上面	ɡa²¹ ʔa⁵⁵ mi²¹, ko²¹ to³³	ko²¹to³³	k o ²¹ + t o ³³	i n t + i n t
2810	Laizisi (Moguang)	above	527	上面	ɡa³³ ba²¹	ɡa³³ba²¹	g a ³³ + b a ²¹	i n t + i n t
2811	Sonaga (Xinfeng)	above	527	上面	ka⁵⁵ tɑ̠²¹	ka⁵⁵tɑ̠²¹	k a ⁵⁵ + t ɑ̠/ɑ ²¹	i n t + i n t
#
2880	Kua-nsi (Hedong)	after (temporal)	539	今后(将来)	çia⁵⁵ dza³³, ʔa⁵⁵ dza³³	çia⁵⁵dza³³	ɕ j a ⁵⁵ + dz a ³³	i m n t + i n t
2881	Kua-nsi (Hedong)	after (temporal)	539	今后(将来)	çia⁵⁵ dza³³, ʔa⁵⁵ dza³³	ʔa⁵⁵dza³³	ʔ a ⁵⁵ + dz a ³³	i n t + i n t
2882	Kuamasi	after (temporal)	539	今后(将来)	tia²¹ a³³ ȵi³³, ʔa²¹ ta⁵⁵ ȵi³³	tia²¹a³³ȵi³³	t j a ²¹ + a ³³ + ȵ i ³³	i m n t + n t + i n t
2883	Kuamasi	after (temporal)	539	今后(将来)	tia²¹ a³³ ȵi³³, ʔa²¹ ta⁵⁵ ȵi³³	ʔa²¹ta⁵⁵ȵi³³	ʔ a ²¹ + t a ⁵⁵ + ȵ i ³³	i n t + i n t + i n t
2884	Zibusi (Daqing)	after (temporal)	539	今后(将来)	tia²¹ a⁵⁵ ȵi³³	tia²¹a⁵⁵ȵi³³	t j a ²¹ + a ⁵⁵ + ȵ i ³³	i m n t + n t + i n t
2885	Laizisi (Moguang)	after (temporal)	539	今后(将来)	ʔa²¹ ka³³ na²¹ ʔu⁵⁵ ȵi³³	ʔa²¹ka³³na²¹ʔu⁵⁵ȵi³³	ʔ a ²¹ + k a ³³ + n a ²¹ + ʔ u ⁵⁵ + ȵ i ³³	i n t + i n t + i n t + i n t + i n t
2886	Sonaga (Xinfeng)	after (temporal)	539	今后(将来)	tia²¹ ba²¹	tia²¹ba²¹	t j a ²¹ + b a ²¹	i m n t + i n t
#
2450	Kua-nsi (Hedong)	angry	462	生气	vɨ ̪⁵⁵ tsɿ⁵⁵, ɕya²¹ kʰɯ³³	vɨ̪⁵⁵tsɿ⁵⁵	v ɨ̪/ɨ ⁵⁵ + ts ɿ ⁵⁵	i n t + i n t
2451	Kua-nsi (Hedong)	angry	462	生气	vɨ ̪⁵⁵ tsɿ⁵⁵, ɕya²¹ kʰɯ³³	ɕya²¹kʰɯ³³	ɕ ɥ a ²¹ + kʰ ɯ ³³	i m n t + i n t
2452	Kuamasi	angry	462	生气	tu⁵⁵ tɕʰi³³	tu⁵⁵tɕʰi³³	t u ⁵⁵ + tɕʰ i ³³	i n t + i n t
2453	Zibusi (Daqing)	angry	462	生气	zɿ²¹ tɕʰi⁵⁵	zɿ²¹tɕʰi⁵⁵	z ɿ ²¹ + tɕʰ i ⁵⁵	i n t + i n t
2454	Laizisi (Moguang)	angry	462	生气	tɕʰi³³̠ tu⁵⁵	tɕʰi³³̠tu⁵⁵	tɕʰ i ³³ + t u ⁵⁵	i n t + i n t
2455	Sonaga (Xinfeng)	angry	462	生气	hɑu²¹ tsʰɯ̃²¹	hɑu²¹tsʰɯ̃²¹	h ɑu ²¹ + tsʰ ɯ̃ ²¹	i n t + i n t
#
339	Kua-nsi (Hedong)	ant	65	蚂蚁	bu²¹ ʔo³³	bu²¹ʔo³³	b u ²¹ + ʔ o ³³	i n t + i n t
340	Kuamasi	ant	65	蚂蚁	bu²¹ wa³³	bu²¹wa³³	b u ²¹ + w a ³³	i n t + i n t
341	Zibusi (Daqing)	ant	65	蚂蚁	bou²¹ lou³³	bou²¹lou³³	b ou ²¹ + l ou ³³	i n t + i n t
342	Laizisi (Moguang)	ant	65	蚂蚁	bu²¹ lu³³	bu²¹lu³³	b u ²¹ + l u ³³	i n t + i n t
343	Sonaga (Xinfeng)	ant	65	蚂蚁	bo²¹ lo³³	bo²¹lo³³	b o ²¹ + l o ³³	i n t + i n t
#
679	Kua-nsi (Hedong)	arm	128	胳臂	la̠²¹ vɨ²¹̪	la̠²¹vɨ²¹̪	l a̠/a ²¹ + v ɨ ²¹	i n t + i n t
680	Kuamasi	arm	128	胳臂	la̠²¹ pi⁵⁵	la̠²¹pi⁵⁵	l a̠/a ²¹ + p i ⁵⁵	i n t + i n t
681	Zibusi (Daqing)	arm	128	胳臂	la²¹ tsɿ²¹	la²¹tsɿ²¹	l a ²¹ + ts ɿ ²¹	i n t + i n t
682	Laizisi (Moguang)	arm	128	胳臂	la̠²¹ tsai²¹	la̠²¹tsai²¹	l a̠/a ²¹ + ts ai ²¹	i n t + i n t
683	Sonaga (Xinfeng)	arm	128	胳臂	la²¹ tʰɯ⁵⁵, la²¹sɛ̠⁵⁵	la²¹tʰɯ⁵⁵	l a ²¹ + tʰ ɯ ⁵⁵	i n t + i n t
684	Sonaga (Xinfeng)	arm	128	胳臂	la²¹ tʰɯ⁵⁵, la²¹sɛ̠⁵⁵	la²¹sɛ̠⁵⁵	l a ²¹ + s ɛ̠/ɛ ⁵⁵	i n t + i n t
#
2704	Kua-nsi (Hedong)	arm span (measure)	509	庹(两臂伸直)	bo³³	bo³³	b o ³³	i n t
2705	Kuamasi	arm span (measure)	509	庹(两臂伸直)	bu³³	bu³³	b u ³³	i n t
2706	Zibusi (Daqing)	arm span (measure)	509	庹(两臂伸直)	bɑu⁵⁵	bɑu⁵⁵	b ɑu ⁵⁵	i n t
2707	Laizisi (Moguang)	arm span (measure)	509	庹(两臂伸直)	bo⁵⁵	bo⁵⁵	b o ⁵⁵	i n t
2708	Sonaga (Xinfeng)	arm span (measure)	509	庹(两臂伸直)	bo⁵⁵	bo⁵⁵	b o ⁵⁵	i n t
#
1277	Kua-nsi (Hedong)	arrow	242	箭	mia²¹ zu²¹	mia²¹zu²¹	m j a ²¹ + z u ²¹	i m n t + i n t
1278	Kuamasi	arrow	242	箭	mia²¹ zu²¹	mia²¹zu²¹	m j a ²¹ + z u ²¹	i m n t + i n t
1279	Zibusi (Daqing)	arrow	242	箭	tɕi⁵⁵ ha³³	tɕi⁵⁵ha³³	tɕ i ⁵⁵ + h a ³³	i n t + i n t
1280	Laizisi (Moguang)	arrow	242	箭	mia²¹ tɕi⁵⁵	mia²¹tɕi⁵⁵	m j a ²¹ + tɕ i ⁵⁵	i m n t + i n t
1281	Sonaga (Xinfeng)	arrow	242	箭	miɛ²¹ zo²¹	miɛ²¹zo²¹	m j ɛ ²¹ + z o ²¹	i m n t + i n t
#
577	Kua-nsi (Hedong)	ash*	110	灰(火灰、草木灰)	kʰɨ²¹̪ pʰɯ³³ _	kʰɨ²¹̪pʰɯ³³	kʰ ɨ ²¹ + pʰ ɯ ³³	i n t + i n t
578	Kua-nsi	ash*	110	灰(火灰、草木灰)	kʰɨ ̪²¹ huã⁵⁵	kʰɨ̪²¹huã⁵⁵	kʰ ɨ̪/ɨ ²¹ + h w ã ⁵⁵	i n t + i m n t
579	Kuamasi	ash*	110	灰(火灰、草木灰)	kʰo²¹ pʰɯ³³	kʰo²¹pʰɯ³³	kʰ o ²¹ + pʰ ɯ ³³	i n t + i n t
580	Zibusi (Daqing)	ash*	110	灰(火灰、草木灰)	kʰo²¹ huɔ⁵⁵	kʰo²¹huɔ⁵⁵	kʰ o ²¹ + h w ɔ ⁵⁵	i n t + i m n t
581	Laizisi (Moguang)	ash*	110	灰(火灰、草木灰)	kʰo̠²¹ huã⁵⁵	kʰo̠²¹huã⁵⁵	kʰ o̠/o ²¹ + h w ã ⁵⁵	i n t + i m n t
