# Wordlist

# DATA
ID	DOCULECT	CONCEPT	NUMBER	CHINESE	VALUE	FORM	TOKENS	STRUCTURE
582	Sonaga (Xinfeng)	ash*	110	灰(火灰、草木灰)	kʰɤ̪²¹ hɛ̠⁵⁵ _	kʰɤ̪²¹hɛ̠⁵⁵	kʰ ɤ̪/ɤ ²¹ + h ɛ̠/ɛ ⁵⁵	i n t + i n t
#
2439	Kua-nsi (Hedong)	ashamed	460	惭愧	ɨ⁵⁵̪ ɡu³³ n̩²¹ di²¹	ɨ⁵⁵̪ɡu³³n̩²¹di²¹	ɨ ⁵⁵ + g u ³³ + n n̩ ²¹ + d i ²¹	n t + i n t + i n t + i n t
2440	Kuamasi	ashamed	460	惭愧	ɡu̠³³ mu²¹ dzua³³	ɡu̠³³mu²¹dzua³³	g u̠/u ³³ + m u ²¹ + dz w a ³³	i n t + i n t + i m n t
2441	Zibusi (Daqing)	ashamed	460	惭愧	ʔi⁵⁵ ɡu³³ n̩²¹ dai²¹	ʔi⁵⁵ɡu³³n̩²¹dai²¹	ʔ i ⁵⁵ + g u ³³ + n n̩ ²¹ + d ai ²¹	i n t + i n t + i n t + i n t
2442	Laizisi (Moguang)	ashamed	460	惭愧	ɡɯ̠³³, ɡɯ̠³³ n̩²¹ zai³³	ɡɯ̠³³	g ɯ̠/ɯ ³³	i n t
2443	Laizisi (Moguang)	ashamed	460	惭愧	ɡɯ̠³³, ɡɯ̠³³ n̩²¹ zai³³	ɡɯ̠³³n̩²¹zai³³	g ɯ̠/ɯ ³³ + n n̩ ²¹ + z ai ³³	i n t + i n t + i n t
2444	Sonaga (Xinfeng)	ashamed	460	惭愧	tsʰa⁵⁵ tsʰɯ̃³³	tsʰa⁵⁵tsʰɯ̃³³	tsʰ a ⁵⁵ + tsʰ ɯ̃ ³³	i n t + i n t
#
472	Kua-nsi (Hedong)	aubergine	90	茄子	ɡu⁵⁵	ɡu⁵⁵	g u ⁵⁵	i n t
473	Kuamasi	aubergine	90	茄子	ɡu⁵⁵	ɡu⁵⁵	g u ⁵⁵	i n t
474	Zibusi (Daqing)	aubergine	90	茄子	ɡu⁵⁵	ɡu⁵⁵	g u ⁵⁵	i n t
475	Laizisi (Moguang)	aubergine	90	茄子	tɕʰi⁵⁵ tsɿ³³	tɕʰi⁵⁵tsɿ³³	tɕʰ i ⁵⁵ + ts ɿ ³³	i n t + i n t
476	Sonaga (Xinfeng)	aubergine	90	茄子	tɕʰi⁵⁵ tsɿ³³	tɕʰi⁵⁵tsɿ³³	tɕʰ i ⁵⁵ + ts ɿ ³³	i n t + i n t
#
1132	Kua-nsi (Hedong)	axe	214	斧头	hu⁵⁵ tsʰo³³	hu⁵⁵tsʰo³³	h u ⁵⁵ + tsʰ o ³³	i n t + i n t
1133	Kuamasi	axe	214	斧头	hu⁵⁵ tsʰu³³	hu⁵⁵tsʰu³³	h u ⁵⁵ + tsʰ u ³³	i n t + i n t
1134	Zibusi (Daqing)	axe	214	斧头	hɯ⁵⁵ tsʰou³³	hɯ⁵⁵tsʰou³³	h ɯ ⁵⁵ + tsʰ ou ³³	i n t + i n t
1135	Laizisi (Moguang)	axe	214	斧头	ku⁵⁵ tsʰu⁵⁵	ku⁵⁵tsʰu⁵⁵	k u ⁵⁵ + tsʰ u ⁵⁵	i n t + i n t
1136	Sonaga (Xinfeng)	axe	214	斧头	ko⁵⁵ tsʰõ³³	ko⁵⁵tsʰõ³³	k o ⁵⁵ + tsʰ õ ³³	i n t + i n t
#
759	Kua-nsi (Hedong)	back	143	脊背	ka⁵⁵ bi⁵⁵	ka⁵⁵bi⁵⁵	k a ⁵⁵ + b i ⁵⁵	i n t + i n t
760	Kuamasi	back	143	脊背	ka⁵⁵ bi⁵⁵	ka⁵⁵bi⁵⁵	k a ⁵⁵ + b i ⁵⁵	i n t + i n t
761	Zibusi (Daqing)	back	143	脊背	ka⁵⁵ bɛi⁵⁵	ka⁵⁵bɛi⁵⁵	k a ⁵⁵ + b ɛi ⁵⁵	i n t + i n t
762	Laizisi (Moguang)	back	143	脊背	ɡɛ⁵⁵ bɛ⁵⁵	ɡɛ⁵⁵bɛ⁵⁵	g ɛ ⁵⁵ + b ɛ ⁵⁵	i n t + i n t
763	Sonaga (Xinfeng)	back	143	脊背	do²¹ ko²¹ ɕi⁵⁵	do²¹ko²¹ɕi⁵⁵	d o ²¹ + k o ²¹ + ɕ i ⁵⁵	i n t + i n t + i n t
#
2307	Kua-nsi (Hedong)	bad	436	坏(东西坏)	xuɛi³³	xuɛi³³	x w ɛi ³³	i m n t
2308	Kuamasi	bad	436	坏(东西坏)	hɛi⁵⁵, bia³³	hɛi⁵⁵	h ɛi ⁵⁵	i n t
2309	Kuamasi	bad	436	坏(东西坏)	hɛi⁵⁵, bia³³	bia³³	b j a ³³	i m n t
2310	Zibusi (Daqing)	bad	436	坏(东西坏)	bia³³, hai³³	bia³³	b j a ³³	i m n t
2311	Zibusi (Daqing)	bad	436	坏(东西坏)	bia³³, hai³³	hai³³	h ai ³³	i n t
2312	Laizisi (Moguang)	bad	436	坏(东西坏)	bia³³, hai³³	bia³³	b j a ³³	i m n t
2313	Laizisi (Moguang)	bad	436	坏(东西坏)	bia³³, hai³³	hai³³	h ai ³³	i n t
2314	Sonaga (Xinfeng)	bad	436	坏(东西坏)	kua̠²¹	kua̠²¹	k w a̠ ²¹	i m n t
#
405	Kua-nsi (Hedong)	bamboo	77	竹子	mu⁵⁵ tu⁵⁵	mu⁵⁵tu⁵⁵	m u ⁵⁵ + t u ⁵⁵	i n t + i n t
406	Kuamasi	bamboo	77	竹子	mu⁵⁵ tu⁵⁵	mu⁵⁵tu⁵⁵	m u ⁵⁵ + t u ⁵⁵	i n t + i n t
407	Zibusi (Daqing)	bamboo	77	竹子	mu⁵⁵	mu⁵⁵	m u ⁵⁵	i n t
408	Laizisi (Moguang)	bamboo	77	竹子	mu⁵⁵	mu⁵⁵	m u ⁵⁵	i n t
409	Sonaga (Xinfeng)	bamboo	77	竹子	mũ⁵⁵	mũ⁵⁵	m ũ ⁵⁵	i n t
#
497	Kua-nsi (Hedong)	banana	95	香蕉(芭蕉)	ŋa³³ dzɿ⁵⁵ sua²¹	ŋa³³dzɿ⁵⁵sua²¹	ŋ a ³³ + dz ɿ ⁵⁵ + s w a ²¹	i n t + i n t + i m n t
498	Kuamasi	banana	95	香蕉(芭蕉)	pa⁵⁵ tsiou⁵⁵	pa⁵⁵tsiou⁵⁵	p a ⁵⁵ + ts j ou ⁵⁵	i n t + i m n t
499	Zibusi (Daqing)	banana	95	香蕉(芭蕉)	ŋa³³ ba³³	ŋa³³ba³³	ŋ a ³³ + b a ³³	i n t + i n t
500	Laizisi (Moguang)	banana	95	香蕉(芭蕉)	pa⁵⁵ tɕʰu⁵⁵	pa⁵⁵tɕʰu⁵⁵	p a ⁵⁵ + tɕʰ u ⁵⁵	i n t + i n t
#
566	Kua-nsi (Hedong)	bark*	108	树皮	sɿ³³ ko²¹ _	sɿ³³ko²¹	s ɿ ³³ + k o ²¹	i n t + i n t
567	Kua-nsi	bark*	108	树皮	sɿ³³ ko³³ _	sɿ³³ko³³	s ɿ ³³ + k o ³³	i n t + i n t
568	Kuamasi	bark*	108	树皮	sɿ³³ ku³³ _	sɿ³³ku³³	s ɿ ³³ + k u ³³	i n t + i n t
569	Zibusi (Daqing)	bark*	108	树皮	ʑi⁵⁵ kɯ²¹	ʑi⁵⁵kɯ²¹	ʑ i ⁵⁵ + k ɯ ²¹	i n t + i n t
570	Laizisi (Moguang)	bark*	108	树皮	ɕi⁵⁵ dʑi⁵⁵ kɯ²¹	ɕi⁵⁵dʑi⁵⁵kɯ²¹	ɕ i ⁵⁵ + dʑ i ⁵⁵ + k ɯ ²¹	i n t + i n t + i n t
571	Sonaga (Xinfeng)	bark*	108	树皮	pɯ³³ jo⁵⁵	pɯ³³jo⁵⁵	p ɯ ³³ + j o ⁵⁵	i n t + i n t
#
422	Kua-nsi (Hedong)	barley	80	大麦	zɿ³³	zɿ³³	z ɿ ³³	i n t
423	Kuamasi	barley	80	大麦	zɤ³³	zɤ³³	z ɤ ³³	i n t
424	Zibusi (Daqing)	barley	80	大麦	zɿ³³	zɿ³³	z ɿ ³³	i n t
425	Laizisi (Moguang)	barley	80	大麦	zɤ³³	zɤ³³	z ɤ ³³	i n t
426	Sonaga (Xinfeng)	barley	80	大麦	zɿ³³	zɿ³³	z ɿ ³³	i n t
#
303	Kua-nsi (Hedong)	bat	58	蝙蝠	bia⁵⁵ lɤ²¹	bia⁵⁵lɤ²¹	b j a ⁵⁵ + l ɤ ²¹	i m n t + i n t
304	Kuamasi	bat	58	蝙蝠	ha³³ biou⁵⁵ lu⁵⁵	ha³³biou⁵⁵lu⁵⁵	h a ³³ + b j ou ⁵⁵ + l u ⁵⁵	i n t + i m n t + i n t
305	Zibusi (Daqing)	bat	58	蝙蝠	pɤ⁵⁵ pɤ³³	pɤ⁵⁵pɤ³³	p ɤ ⁵⁵ + p ɤ ³³	i n t + i n t
306	Laizisi (Moguang)	bat	58	蝙蝠	pi⁵⁵ pu³³ zu²¹	pi⁵⁵pu³³zu²¹	p i ⁵⁵ + p u ³³ + z u ²¹	i n t + i n t + i n t
307	Sonaga (Xinfeng)	bat	58	蝙蝠	pɯ⁵⁵ pɯ³³	pɯ⁵⁵pɯ³³	p ɯ ⁵⁵ + p ɯ ³³	i n t + i n t
#
1013	Kua-nsi (Hedong)	beam	191	梁(椽子)	hĩ⁵⁵ dɤ²¹	hĩ⁵⁵dɤ²¹	h ĩ ⁵⁵ + d ɤ ²¹	i n t + i n t
1014	Kuamasi	beam	191	梁(椽子)	vo̠³³	vo̠³³	v o̠/o ³³	i n t
1015	Zibusi (Daqing)	beam	191	梁(椽子)	ɣa⁵⁵ mu³³	ɣa⁵⁵mu³³	ɣ a ⁵⁵ + m u ³³	i n t + i n t
1016	Laizisi (Moguang)	beam	191	梁(椽子)	ʔŋua²¹	ʔŋua²¹	ˀŋ w a ²¹	i m n t
1017	Sonaga (Xinfeng)	beam	191	梁(椽子)	wa⁵⁵ mũ³³	wa⁵⁵mũ³³	w a ⁵⁵ + m ũ ³³	i n t + i n t
#
463	Kua-nsi (Hedong)	bean	88	豆子	nũ³³ bua³³	nũ³³bua³³	n ũ ³³ + b w a ³³	i n t + i m n t
464	Kuamasi	bean	88	豆子	nua³³	nua³³	n w a ³³	i m n t
465	Zibusi (Daqing)	bean	88	豆子	nou³³	nou³³	n ou ³³	i n t
466	Laizisi (Moguang)	bean	88	豆子	nu̠⁵⁵	nu̠⁵⁵	n u̠/u ⁵⁵	i n t
467	Sonaga (Xinfeng)	bean	88	豆子	no³³	no³³	n o ³³	i n t
#
238	Kua-nsi (Hedong)	bear	45	熊	ɣɯ⁵⁵ mu³³	ɣɯ⁵⁵mu³³	ɣ ɯ ⁵⁵ + m u ³³	i n t + i n t
239	Kuamasi	bear	45	熊	ɣɯ⁵⁵ mũ³³	ɣɯ⁵⁵mũ³³	ɣ ɯ ⁵⁵ + m ũ ³³	i n t + i n t
240	Zibusi (Daqing)	bear	45	熊	ɣɯ⁵⁵ mu³³	ɣɯ⁵⁵mu³³	ɣ ɯ ⁵⁵ + m u ³³	i n t + i n t
241	Laizisi (Moguang)	bear	45	熊	ʔa²¹ ba³³ ɣɯ⁵⁵	ʔa²¹ba³³ɣɯ⁵⁵	ʔ a ²¹ + b a ³³ + ɣ ɯ ⁵⁵	i n t + i n t + i n t
242	Sonaga (Xinfeng)	bear	45	熊	ɣɯ⁵⁵	ɣɯ⁵⁵	ɣ ɯ ⁵⁵	i n t
#
646	Kua-nsi (Hedong)	beard	122	胡子	mɯ̠²¹ tsʰɯ³³	mɯ̠²¹tsʰɯ³³	m ɯ̠/ɯ ²¹ + tsʰ ɯ ³³	i n t + i n t
647	Kuamasi	beard	122	胡子	mɯ̃²¹ tsʰɯ²¹	mɯ̃²¹tsʰɯ²¹	m ɯ̃ ²¹ + tsʰ ɯ ²¹	i n t + i n t
648	Zibusi (Daqing)	beard	122	胡子	mu²¹ tsʰɿ³³	mu²¹tsʰɿ³³	m u ²¹ + tsʰ ɿ ³³	i n t + i n t
649	Laizisi (Moguang)	beard	122	胡子	mu²¹ tɕʰi²¹	mu²¹tɕʰi²¹	m u ²¹ + tɕʰ i ²¹	i n t + i n t
650	Sonaga (Xinfeng)	beard	122	胡子	mɯ̃²¹ tɕʰi²¹	mɯ̃²¹tɕʰi²¹	m ɯ̃ ²¹ + tɕʰ i ²¹	i n t + i n t
#
349	Kua-nsi (Hedong)	bee	67	蜜蜂	bia²¹ mu³³	bia²¹mu³³	b j a ²¹ + m u ³³	i m n t + i n t
350	Kuamasi	bee	67	蜜蜂	bia²¹	bia²¹	b j a ²¹	i m n t
351	Zibusi (Daqing)	bee	67	蜜蜂	bia²¹	bia²¹	b j a ²¹	i m n t
352	Laizisi (Moguang)	bee	67	蜜蜂	bia²¹	bia²¹	b j a ²¹	i m n t
353	Sonaga (Xinfeng)	bee	67	蜜蜂	bia²¹	bia²¹	b j a ²¹	i m n t
#
2872	Kua-nsi (Hedong)	before (temporal)	538	以前(过去)	xu⁵⁵ vɨ⁵⁵,̪ ʔa²¹ sɿ³³ vɨ⁵⁵̪	xu⁵⁵vɨ⁵⁵	x u ⁵⁵ + v ɨ ⁵⁵	i n t + i n t
2873	Kua-nsi (Hedong)	before (temporal)	538	以前(过去)	xu⁵⁵ vɨ⁵⁵,̪ ʔa²¹ sɿ³³ vɨ⁵⁵̪	ʔa²¹sɿ³³vɨ⁵⁵̪	ʔ a ²¹ + s ɿ ³³ + v ɨ ⁵⁵	i n t + i n t + i n t
2874	Kuamasi	before (temporal)	538	以前(过去)	ʔa⁵⁵ xɯ²¹	ʔa⁵⁵xɯ²¹	ʔ a ⁵⁵ + x ɯ ²¹	i n t + i n t
2875	Zibusi (Daqing)	before (temporal)	538	以前(过去)	ka²¹ dou³³	ka²¹dou³³	k a ²¹ + d ou ³³	i n t + i n t
2876	Laizisi (Moguang)	before (temporal)	538	以前(过去)	ku̠²¹ bi³³,̠ ka̠²¹ du³³	ku̠²¹bi³³	k u̠/u ²¹ + b i ³³	i n t + i n t
2877	Laizisi (Moguang)	before (temporal)	538	以前(过去)	ku̠²¹ bi³³,̠ ka̠²¹ du³³	ka̠²¹du³³	k a̠/a ²¹ + d u ³³	i n t + i n t
2878	Sonaga (Xinfeng)	before (temporal)	538	以前(过去)	kou⁵⁵ ŋɛ̠⁵⁵, ɡa²¹ ba²¹	kou⁵⁵ŋɛ̠⁵⁵	k ou ⁵⁵ + ŋ ɛ̠/ɛ ⁵⁵	i n t + i n t
2879	Sonaga (Xinfeng)	before (temporal)	538	以前(过去)	kou⁵⁵ ŋɛ̠⁵⁵, ɡa²¹ ba²¹	ɡa²¹ba²¹	g a ²¹ + b a ²¹	i n t + i n t
#
771	Kua-nsi (Hedong)	belly*	145	肚子(腹部)	hi²¹ pɯ⁵⁵	hi²¹pɯ⁵⁵	h i ²¹ + p ɯ ⁵⁵	i n t + i n t
772	Kua-nsi	belly*	145	肚子(腹部)	hi²¹ pɯ⁵⁵	hi²¹pɯ⁵⁵	h i ²¹ + p ɯ ⁵⁵	i n t + i n t
773	Kuamasi	belly*	145	肚子(腹部)	hi²¹ pu⁵⁵	hi²¹pu⁵⁵	h i ²¹ + p u ⁵⁵	i n t + i n t
774	Zibusi (Daqing)	belly*	145	肚子(腹部)	hai²¹ pɯ⁵⁵	hai²¹pɯ⁵⁵	h ai ²¹ + p ɯ ⁵⁵	i n t + i n t
775	Laizisi (Moguang)	belly*	145	肚子(腹部)	hai²¹ pɯ⁵⁵	hai²¹pɯ⁵⁵	h ai ²¹ + p ɯ ⁵⁵	i n t + i n t
776	Sonaga (Xinfeng)	belly*	145	肚子(腹部)	hɛ²¹ pɯ⁵⁵, hɯ²¹ pɯ⁵⁵	hɛ²¹pɯ⁵⁵	h ɛ ²¹ + p ɯ ⁵⁵	i n t + i n t
777	Sonaga (Xinfeng)	belly*	145	肚子(腹部)	hɛ²¹ pɯ⁵⁵, hɯ²¹ pɯ⁵⁵	hɯ²¹pɯ⁵⁵	h ɯ ²¹ + p ɯ ⁵⁵	i n t + i n t
#
2812	Kua-nsi (Hedong)	beneath	528	下面	tsʰɿ⁵⁵ kʰɤ²¹	tsʰɿ⁵⁵kʰɤ²¹	tsʰ ɿ ⁵⁵ + kʰ ɤ ²¹	i n t + i n t
2813	Kuamasi	beneath	528	下面	ji³³ tɕi³³	ji³³tɕi³³	j i ³³ + tɕ i ³³	i n t + i n t
2814	Zibusi (Daqing)	beneath	528	下面	wa²¹ ʔa⁵⁵ mi²¹, ʔi³³ tɕi³³, tɕʰi⁵⁵ kʰo²¹	wa²¹ʔa⁵⁵mi²¹	w a ²¹ + ʔ a ⁵⁵ + m i ²¹	i n t + i n t + i n t
2815	Zibusi (Daqing)	beneath	528	下面	wa²¹ ʔa⁵⁵ mi²¹, ʔi³³ tɕi³³, tɕʰi⁵⁵ kʰo²¹	ʔi³³tɕi³³	ʔ i ³³ + tɕ i ³³	i n t + i n t
2816	Zibusi (Daqing)	beneath	528	下面	wa²¹ ʔa⁵⁵ mi²¹, ʔi³³ tɕi³³, tɕʰi⁵⁵ kʰo²¹	tɕʰi⁵⁵kʰo²¹	tɕʰ i ⁵⁵ + kʰ o ²¹	i n t + i n t
2817	Laizisi (Moguang)	beneath	528	下面	ʔwa³³ ba²¹	ʔwa³³ba²¹	ʔ w a ³³ + b a ²¹	i m n t + i n t
